url,doi,primaryclass,archiveprefix,eprint,month,year,author,title,ENTRYTYPE,ID,journal,pages,number,volume,publisher,booktitle
https://arxiv.org/abs/2005.13018,10.48550/arXiv.2005.13018,quant-ph,arXiv,2005.13018,5,2020,Ang Li and Samuel Stein and Sriram Krishnamoorthy and James Ang,QASMBench: A Low-level QASM Benchmark Suite for NISQ Evaluation and Simulation,article,li2022qasmbench,,,,,,
https://doi.org/10.1002%2Fqute.202100081,10.1002/qute.202100081,,,,5,2021,Meron Sheffer and Daniel Azses and Emanuele G. Dalla Torre,Playing Quantum Nonlocal Games with Six Noisy Qubits on the Cloud,article,Sheffer_2022,Advanced Quantum Technologies,2100081,3,5,Wiley,
https://doi.org/10.1103%2Fphysrevresearch.4.043092,10.1103/physrevresearch.4.043092,,,,9,2021,Elton Yechao Zhu and Sonika Johri and Dave Bacon and Mert Esencan and Jungsang Kim and Mark Muir and Nikhil Murgai and Jason Nguyen and Neal Pisenti and Adam Schouela and Ksenia Sosnova and Ken Wright,Generative quantum learning of joint probability distribution functions,article,Zhu_2022,Physical Review Research,,4,4,American Physical Society ({APS}),
https://doi.org/10.22331%2Fq-2022-09-08-799,10.22331/q-2022-09-08-799,,,,10,2021,Max D. Porter and Ilon Joseph,Observability of fidelity decay at the Lyapunov rate in few-qubit quantum simulations,article,Porter_2022,Quantum,799,,6,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,
https://doi.org/10.1209%2F0295-5075%2Fac90e6,10.1209/0295-5075/ac90e6,,,,1,2022,K. Zhang and K. Yu and V. Korepin,Quantum search on noisy intermediate-scale quantum devices,article,Zhang_2022,Europhysics Letters,18002,1,140,{IOP} Publishing,
https://arxiv.org/abs/2202.11045,10.48550/arXiv.2202.11045,quant-ph,arXiv,2202.11045,2,2022,Teague Tomesh and Pranav Gokhale and Victory Omole and Gokul Subramanian Ravi and Kaitlin N. Smith and Joshua Viszlai and Xin-Chuan Wu and Nikos Hardavellas and Margaret R. Martonosi and Frederic T. Chong,SupermarQ: A Scalable Quantum Benchmark Suite,article,tomesh2022supermarq,,,,,,
https://doi.org/10.1109%2Ftqe.2022.3184764,10.1109/tqe.2022.3184764,,,,3,2022,Elijah Pelofske and Andreas Bartschi and Stephan Eidenbenz,Quantum Volume in Practice: What Users Can Expect From {NISQ} Devices,article,Pelofske_2022,{IEEE} Transactions on Quantum Engineering,1--19,,3,Institute of Electrical and Electronics Engineers ({IEEE}),
https://doi.org/10.1109%2Fqce53715.2022.00086,10.1109/qce53715.2022.00086,,,,4,2022,Ashish Kakkar and Jeffrey Larson and Alexey Galda and Ruslan Shaydulin,Characterizing Error Mitigation by Symmetry Verification in {QAOA},inproceedings,Kakkar_2022,,,,,{IEEE},2022 {IEEE} International Conference on Quantum Computing and Engineering ({QCE})
https://doi.org/10.1103%2Fprxquantum.4.010301,10.1103/prxquantum.4.010301,,,,4,2022,Tobias Haug and M.S. Kim,Scalable Measures of Magic Resource for Quantum Computers,article,Haug_2023,{PRX} Quantum,,1,4,American Physical Society ({APS}),
https://arxiv.org/abs/2206.01573,10.48550/arXiv.2206.01573,quant-ph,arXiv,2206.01573,6,2022,Sasan Moradi and Christoph Brandner and Macauley Coggins and Robert Wille and Wolfgang Drexler and Laszlo Papp,Error mitigation for quantum kernel based machine learning methods on IonQ and IBM quantum computers,article,moradi2022error,,,,,,
https://doi.org/10.1103%2Fphysreva.106.052201,10.1103/physreva.106.052201,,,,6,2022,Feng-Jui Chan and Yi-Te Huang and Jhen-Dong Lin and Huan-Yu Ku and Jui-Sheng Chen and Hong-Bin Chen and Yueh-Nan Chen,Maxwell{\textquotesingle}s two-demon engine under pure dephasing noise,article,Chan_2022,Physical Review A,,5,106,American Physical Society ({APS}),
https://arxiv.org/abs/2209.00207,10.48550/arXiv.2209.00207,quant-ph,arXiv,2209.00207,9,2022,Seungbeom Chin and Jaehee Kim and Joonsuk Huh,Quantum circuit simulation of linear optics using fermion to qubit encoding,article,chin2022quantum,,,,,,
https://arxiv.org/abs/2210.03089,10.48550/arXiv.2210.03089,quant-ph,arXiv,2210.03089,10,2022,Niklas Mueller and Joseph A. Carolan and Andrew Connelly and Zohreh Davoudi and Eugene F. Dumitrescu and KÃ¼bra Yeter-Aydeniz,Quantum computation of dynamical quantum phase transitions and entanglement tomography in a lattice gauge theory,article,mueller2022quantum,,,,,,
https://arxiv.org/abs/2210.07194,10.48550/arXiv.2210.07194,quant-ph,arXiv,2210.07194,10,2022,Vincent Russo and Andrea Mari and Nathan Shammah and Ryan LaRose and William J. Zeng,Testing platform-independent quantum error mitigation on noisy quantum computers,article,russo2022testing,,,,,,
https://arxiv.org/abs/2211.15631,10.48550/arXiv.2211.15631,quant-ph,arXiv,2211.15631,11,2022,Mohammad Kordzanganeh and Markus Buchberger and Maxim Povolotskii and Wilhelm Fischer and Andrii Kurkin and Wilfrid Somogyi and Asel Sagingalieva and Markus Pflitsch and Alexey Melnikov,Benchmarking simulated and physical quantum processing units using quantum and hybrid algorithms,article,kordzanganeh2022benchmarking,,,,,,
https://arxiv.org/abs/2212.00515,https://doi.org/10.48550/arXiv.2212.00515,quant-ph,arXiv,2212.00515,12,2022,Touheed Anwar Atif and Catherine Potts and David Haycraft and Raouf Dridi and Nicholas Chancellor,Suppressing unwanted fluctuations in QAOA and approximate quantum annealing,article,atif2022suppressing,,,,,,
https://arxiv.org/abs/2212.02482,10.48550/arXiv.2212.02482,quant-ph,arXiv,2212.02482,12,2022,Luning Zhao and Joshua Goings and Kenneth Wright and Jason Nguyen and Jungsang Kim and Sonika Johri and Kyujin Shin and Woomin Kyoung and Johanna I. Fuks and June-Koo Kevin Rhee and Young Min Rhee,Orbital-optimized pair-correlated electron simulations on trapped-ion quantum computers,article,zhao2022orbitaloptimized,,,,,,
https://arxiv.org/abs/2212.14781,10.48550/arXiv.2212.14781,quant-ph,arXiv,2212.14781,12,2022,Nishanth Baskaran and Abhishek Singh Rawat and Dibyajyoti Chakravarti and Akshaya Jayashankar and K. Sugisaki and D. Mukherjee and V. S. Prasannaa,Adapting the HHL algorithm to near-term quantum computing: application to non-unitary quantum many-body theory,article,baskaran2022adapting,,,,,,
https://arxiv.org/abs/2301.07841,10.48550/arXiv.2301.07841,quant-ph,arXiv,2301.07841,1,2023,Jan Balewski and Mercy G. Amankwah and Roel Van Beeumen and E. Wes Bethel and Talita Perciano and Daan Camps,Quantum-parallel vectorized data encodings and computations on trapped-ions and transmons QPUs,article,balewski2023quantumparallel,,,,,,
https://doi.org/10.3390%2Fe25040607,10.3390/e25040607,,,,2,2023,Gabriele Cenedese and Maria Bondani and Dario Rosa and Giuliano Benenti,Generation of Pseudo-Random Quantum States on Actual Quantum Processors,article,Cenedese_2023,Entropy,607,4,25,{MDPI} {AG},
