url,doi,publisher,pages,number,volume,month,year,journal,author,title,ENTRYTYPE,ID,place,issn,copyright,keywords,numpages,issue,abstract,day,primaryclass,archiveprefix,eprint,note
https://doi.org/10.1002%2Fqute.202100081,10.1002/qute.202100081,Wiley,2100081,3,5,1,2022,Advanced Quantum Technologies,Meron Sheffer and Daniel Azses and Emanuele G. Dalla Torre,Playing Quantum Nonlocal Games with Six Noisy Qubits on the Cloud,article,10.1002/qute.202100081,,,,,,,,,,,,
https://www.osti.gov/biblio/1818586,10.22331/q-2021-09-02-535,Quantum,,,5,9,2021,Quantum,"Yirka, Justin and Subaşı, Yiğit",Qubit-efficient entanglement spectroscopy using qubit resets,article,10.22331/q-2021-09-02-535,Austria,2521-327X,,,,,,,,,,
https://doi.org/10.22331%2Fq-2021-12-23-609,10.22331/q-2021-12-23-609,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,609,,5,12,2021,Quantum,Arthur G. Rattew and Yue Sun and Pierre Minssen and Marco Pistoia,The Efficient Preparation of Normal Distributions in Quantum Registers,article,10.22331/q-2021-12-23-609,,,,,,,,,,,,
https://arxiv.org/abs/2006.10656,10.48550/ARXIV.2006.10656,arXiv,,,,6,2020,,"Gilliam, Austin and Pistoia, Marco and Gonciulea, Constantin",Canonical Construction of Quantum Oracles,article,https://doi.org/10.48550/arxiv.2006.10656,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Emerging Technologies (cs.ET), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences",,,,,,,,
https://arxiv.org/abs/2007.10894,10.48550/ARXIV.2007.10894,arXiv,,,,7,2020,,"Gilliam, Austin and Pistoia, Marco and Gonciulea, Constantin",Optimizing Quantum Search with a Binomial Version of Grover's Algorithm,article,https://doi.org/10.48550/arxiv.2007.10894,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Emerging Technologies (cs.ET), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences",,,,,,,,
https://arxiv.org/abs/2109.09787,10.48550/ARXIV.2109.09787,arXiv,,,,9,2021,,"Sewell, Troy J. and Jordan, Stephen P.",Preparing Renormalization Group Fixed Points on NISQ Hardware,article,https://doi.org/10.48550/arxiv.2109.09787,,,Creative Commons Attribution 4.0 International,"Quantum Physics (quant-ph), Statistical Mechanics (cond-mat.stat-mech), Strongly Correlated Electrons (cond-mat.str-el), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://arxiv.org/abs/2110.00507,10.48550/ARXIV.2110.00507,arXiv,,,,10,2021,,"MacCormack, Ian and Galda, Alexey and Lyon, Adam L.",Simulating Large PEPs Tensor Networks on Small Quantum Devices,article,https://doi.org/10.48550/arxiv.2110.00507,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Strongly Correlated Electrons (cond-mat.str-el), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://arxiv.org/abs/2110.15958,10.48550/ARXIV.2110.15958,arXiv,,,,10,2021,,"Yalovetzky, Romina and Minssen, Pierre and Herman, Dylan and Pistoia, Marco",NISQ-HHL: Portfolio Optimization for Near-Term Quantum Hardware,article,https://doi.org/10.48550/arxiv.2110.15958,,,Creative Commons Attribution 4.0 International,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://doi.org/10.1038/s42005-022-01089-6,10.1038/s42005-022-01089-6,Nature Physics,,,,1,2023,,"Mukherjee, Anirban and Berthusen, Noah F. and Getelina, Jo{\~a}o C. and Orth, Peter P. and Yao, Yong-Xin",Comparative study of adaptive variational quantum eigensolvers for multi-orbital impurity models,article,Mukherjee2023,,,,,,,,,,,,
,10.1109/TQE.2022.3184764,,1-19,,3,5,2022,IEEE Transactions on Quantum Engineering,"Pelofske, Elijah and Bärtschi, Andreas and Eidenbenz, Stephan",Quantum Volume in Practice: What Users Can Expect From NISQ Devices,article,9805433,,,,,,,,,,,,
https://arxiv.org/abs/2205.00125,10.48550/ARXIV.2205.00125,arXiv,,,,5,2022,,"Pelofske, Elijah and Bärtschi, Andreas and Garcia, Bryan and Kiefer, Boris and Eidenbenz, Stephan",Quantum Telecloning on NISQ Computers,article,https://doi.org/10.48550/arxiv.2205.00125,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Data Structures and Algorithms (cs.DS), Emerging Technologies (cs.ET), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences",,,,,,,,
https://arxiv.org/abs/2206.03144,10.48550/ARXIV.2206.03144,arXiv,,,,6,2022,,"Niu, Siyuan and Todri-Sanial, Aida",Multi-programming Cross Platform Benchmarking for Quantum Computing Hardware,article,https://doi.org/10.48550/arxiv.2206.03144,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://arxiv.org/abs/2206.05343,10.48550/ARXIV.2206.05343,arXiv,,,,6,2022,,"Lotshaw, Phillip C. and Xu, Hanjing and Khalid, Bilal and Buchs, Gilles and Humble, Travis S. and Banerjee, Arnab",Simulations of Frustrated Ising Hamiltonians with Quantum Approximate Optimization,article,https://doi.org/10.48550/arxiv.2206.05343,,,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,"Quantum Physics (quant-ph), Materials Science (cond-mat.mtrl-sci), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://arxiv.org/abs/2207.14313,10.48550/ARXIV.2207.14313,arXiv,,,,7,2022,,"Hahn, Dominik and Dupont, Maxime and Schmitt, Markus and Luitz, David J. and Bukov, Marin",Verification of the Quantum Jarzynski Equality on Digital Quantum Computers,article,https://doi.org/10.48550/arxiv.2207.14313,,,Creative Commons Attribution 4.0 International,"Statistical Mechanics (cond-mat.stat-mech), Disordered Systems and Neural Networks (cond-mat.dis-nn), Quantum Gases (cond-mat.quant-gas), Strongly Correlated Electrons (cond-mat.str-el), Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://arxiv.org/abs/2209.09371,10.48550/ARXIV.2209.09371,arXiv,,,,9,2022,,"Akhalwaya, Ismail Yunus and Ubaru, Shashanka and Clarkson, Kenneth L. and Squillante, Mark S. and Jejjala, Vishnu and He, Yang-Hui and Naidoo, Kugendran and Kalantzis, Vasileios and Horesh, Lior",Towards Quantum Advantage on Noisy Quantum Computers,article,https://doi.org/10.48550/arxiv.2209.09371,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Machine Learning (cs.LG), Numerical Analysis (math.NA), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences, FOS: Mathematics, FOS: Mathematics",,,,,,,,
https://arxiv.org/abs/2209.15024,10.48550/ARXIV.2209.15024,arXiv,,,,9,2022,,"Herman, Dylan and Shaydulin, Ruslan and Sun, Yue and Chakrabarti, Shouvanik and Hu, Shaohan and Minssen, Pierre and Rattew, Arthur and Yalovetzky, Romina and Pistoia, Marco",Portfolio Optimization via Quantum Zeno Dynamics on a Quantum Processor,article,https://doi.org/10.48550/arxiv.2209.15024,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://link.aps.org/doi/10.1103/PhysRevA.106.032613,10.1103/PhysRevA.106.032613,American Physical Society,032613,,106,9,2022,Phys. Rev. A,"Delaney, Conor and Seshadreesan, Kaushik P. and MacCormack, Ian and Galda, Alexey and Guha, Saikat and Narang, Prineha",Demonstration of a quantum advantage by a joint detection receiver for optical communication using quantum belief propagation on a trapped-ion device,article,PhysRevA.106.032613,,,,,10,3,,,,,,
https://doi.org/10.1038/s41567-022-01696-8,10.1038/s41567-022-01696-8,,970-971,9,18,9,2022,Nature Physics,"Tagliacozzo, Luca",Optimal simulation of quantum dynamics,article,Tagliacozzo2022,,1745-2481,,,,,Tensor networks are mathematical structures that efficiently compress the data required to describe quantum systems. An algorithm for the optimal simulation of quantum dynamics based on tensor networks has now been implemented on a trapped-ion processor.,1,,,,
https://doi.org/10.1209%2F0295-5075%2Fac90e6,10.1209/0295-5075/ac90e6,IOP Publishing,18002,1,140,9,2022,Europhysics Letters,K. Zhang and K. Yu and V. Korepin,Quantum search on noisy intermediate-scale quantum devices,article,Zhang_2022,,,,,,,,,,,,
https://arxiv.org/abs/2210.03048,10.48550/ARXIV.2210.03048,arXiv,,,,10,2022,,"Aktar, Shamminuj and Bärtschi, Andreas and Badawy, Abdel-Hameed A. and Eidenbenz, Stephan",Scalable Experimental Bounds for Entangled Quantum State Fidelities,article,https://doi.org/10.48550/arxiv.2210.03048,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Data Structures and Algorithms (cs.DS), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences",,,,,,,,
https://arxiv.org/abs/2210.10164,10.48550/ARXIV.2210.10164,arXiv,,,,10,2022,,"Pelofske, Elijah and Bärtschi, Andreas and Eidenbenz, Stephan",Optimized Telecloning Circuits: Theory and Practice of Nine NISQ Clones,article,https://doi.org/10.48550/arxiv.2210.10164,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Data Structures and Algorithms (cs.DS), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences",,,,,,,,
https://doi.org/10.1038/s41598-022-20853-w,10.1038/s41598-022-20853-w,,17171,1,12,10,2022,Scientific Reports,"Niroula, Pradeep and Shaydulin, Ruslan and Yalovetzky, Romina and Minssen, Pierre and Herman, Dylan and Hu, Shaohan and Pistoia, Marco",Constrained quantum optimization for extractive summarization on a trapped-ion quantum computer,article,Niroula2022,,2045-2322,,,,,"Realizing the potential of near-term quantum computers to solve industry-relevant constrained-optimization problems is a promising path to quantum advantage. In this work, we consider the extractive summarization constrained-optimization problem and demonstrate the largest-to-date execution of a quantum optimization algorithm that natively preserves constraints on quantum hardware. We report results with the Quantum Alternating Operator Ansatz algorithm with a Hamming-weight-preserving XY mixer (XY-QAOA) on trapped-ion quantum computer. We successfully execute XY-QAOA circuits that restrict the quantum evolution to the in-constraint subspace, using up to 20 qubits and a two-qubit gate depth of up to 159. We demonstrate the necessity of directly encoding the constraints into the quantum circuit by showing the trade-off between the in-constraint probability and the quality of the solution that is implicit if unconstrained quantum optimization methods are used. We show that this trade-off makes choosing good parameters difficult in general. We compare XY-QAOA to the Layer Variational Quantum Eigensolver algorithm, which has a highly expressive constant-depth circuit, and the Quantum Approximate Optimization Algorithm. We discuss the respective trade-offs of the algorithms and implications for their execution on near-term quantum hardware.",13,,,,
https://link.aps.org/doi/10.1103/PhysRevD.106.114515,10.1103/PhysRevD.106.114515,American Physical Society,114515,,106,12,2022,Phys. Rev. D,"Asaduzzaman, Muhammad and Toga, Goksu Can and Catterall, Simon and Meurice, Yannick and Sakai, Ryo",Quantum simulation of the $N$-flavor Gross-Neveu model,article,PhysRevD.106.114515,,,,,11,11,,,,,,
https://arxiv.org/abs/2301.11005,10.48550/ARXIV.2301.11005,arXiv,,,,1,2023,,"Hegade, Narendra N. and Solano, Enrique",Digitized-counterdiabatic quantum factorization,article,https://doi.org/10.48550/arxiv.2301.11005,,,Creative Commons Attribution 4.0 International,"Quantum Physics (quant-ph), Mesoscale and Nanoscale Physics (cond-mat.mes-hall), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://link.springer.com/article/10.1186/s41313-022-00049-5,https://doi.org/10.1186/s41313-022-00049-5,,,1,7,1,2023,,"Song, Duo and Bauman, Nicholas P and G. Prawiroatmodjo and Peng, Bin and Granade, Cassandra and Rosso, Kevin M and Guang Hao Low and Roetteler, Martin and Kowalski, Karol and Bylaska, Eric J",Periodic plane-wave electronic structure calculations on quantum computers,article,https://doi.org/10.1186/s41313-022-00049-5,,,,,,,,,,,,
https://arxiv.org/abs/2301.07841,10.48550/ARXIV.2301.07841,arXiv,,,,1,2023,,"Balewski, Jan and Amankwah, Mercy G. and Van Beeumen, Roel and Bethel, E. Wes and Perciano, Talita and Camps, Daan",Quantum-parallel vectorized data encodings and computations on trapped-ions and transmons QPUs,article,https://doi.org/10.48550/arxiv.2301.07841,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
https://link.aps.org/doi/10.1103/PhysRevD.107.023007,10.1103/PhysRevD.107.023007,American Physical Society,023007,,107,1,2023,Phys. Rev. D,"Amitrano, Valentina and Roggero, Alessandro and Luchi, Piero and Turro, Francesco and Vespucci, Luca and Pederiva, Francesco",Trapped-ion quantum simulation of collective neutrino oscillations,article,PhysRevD.107.023007,,,,,15,2,,,,,,
https://arxiv.org/abs/2302.01917,10.48550/ARXIV.2302.01917,arXiv,,,,1,2023,,"Iqbal, Mohsin and Tantivasadakarn, Nathanan and Gatterman, Thomas M. and Gerber, Justin A. and Gilmore, Kevin and Gresh, Dan and Hankin, Aaron and Hewitt, Nathan and Horst, Chandler V. and Matheny, Mitchell and Mengle, Tanner and Neyenhuis, Brian and Vishwanath, Ashvin and Foss-Feig, Michael and Verresen, Ruben and Dreyer, Henrik",Topological Order from Measurements and Feed-Forward on a Trapped Ion Quantum Computer,article,https://doi.org/10.48550/arxiv.2302.01917,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Strongly Correlated Electrons (cond-mat.str-el), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
