annote,doi,urn,url,address,publisher,editor,volume,month,year,issn,isbn,series,pages,booktitle,title,author,ENTRYTYPE,ID,copyright,keywords,journal,numpages,issue,number,day,eprint,articleno,issue_date
"Keywords: graph isomorphism, quantum information, semidefinite programming",10.4230/LIPIcs.ICALP.2017.76,urn:nbn:de:0030-drops-74697,http://drops.dagstuhl.de/opus/volltexte/2017/7469,"Dagstuhl, Germany",Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,Ioannis Chatzigiannakis and Piotr Indyk and Fabian Kuhn and Anca Muscholl,80,7,2017,1868-8969,978-3-95977-041-5,Leibniz International Proceedings in Informatics (LIPIcs),76:1--76:14,"44th International Colloquium on Automata, Languages, and Programming (ICALP 2017)",Relaxations of Graph Isomorphism,Laura Mancinska and David E. Roberson and Robert Samal and Simone Severini and Antonios Varvitsiotis,article,mancinska_et_al:LIPIcs:2017:7469,,,,,,,,,,
,10.48550/ARXIV.1805.12570,,https://arxiv.org/abs/1805.12570,,arXiv,,,5,2018,,,,,,On the depth overhead incurred when running quantum algorithms on near-term quantum computers with limited qubit connectivity,"Herbert, Steven",article,https://doi.org/10.48550/arxiv.1805.12570,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
"Keywords: Quantum Computing, Qubit routing, Compilation",10.4230/LIPIcs.TQC.2019.5,urn:nbn:de:0030-drops-103972,http://drops.dagstuhl.de/opus/volltexte/2019/10397,"Dagstuhl, Germany",Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,Wim van Dam and Laura Mancinska,135,6,2019,1868-8969,978-3-95977-112-2,Leibniz International Proceedings in Informatics (LIPIcs),5:1--5:32,"14th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2019)",On the Qubit Routing Problem,Alexander Cowtan and Silas Dilkes and Ross Duncan and Alexandre Krajenbrink and Will Simmons and Seyon Sivarajah,inproceedings,cowtan_et_al:LIPIcs:2019:10397,,,,,,,,,,
,10.48550/ARXIV.2004.06052,,https://arxiv.org/abs/2004.06052,,arXiv,,,4,2020,,,,,,Architecture-aware synthesis of phase polynomials for NISQ devices,"de Griend, Arianne Meijer-van and Duncan, Ross",article,https://doi.org/10.48550/arxiv.2004.06052,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,,,,
,10.4204/eptcs.318.13,,https://doi.org/10.4204%2Feptcs.318.13,,Open Publishing Association,,318,5,2020,,,,213--228,,Phase Gadget Synthesis for Shallow Circuits,Alexander Cowtan and Silas Dilkes and Ross Duncan and Will Simmons and Seyon Sivarajah,article,Cowtan_2020,,,Electronic Proceedings in Theoretical Computer Science,,,,,,,
"Keywords: T-count, Parity-phase operations, Phase gadgets, Clifford hierarchy, ZX calculus",10.4230/LIPIcs.TQC.2020.11,urn:nbn:de:0030-drops-120705,https://drops.dagstuhl.de/opus/volltexte/2020/12070,"Dagstuhl, Germany","Schloss Dagstuhl--Leibniz-Zentrum f{\""u}r Informatik",Steven T. Flammia,158,6,2020,1868-8969,978-3-95977-146-7,Leibniz International Proceedings in Informatics (LIPIcs),11:1--11:23,"15th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2020)",Fast and Effective Techniques for T-Count Reduction via Spider Nest Identities,Niel de Beaudrap and Xiaoning Bian and Quanlong Wang,inproceedings,debeaudrap_et_al:LIPIcs:2020:12070,,,,,,,,,,
,10.1103/PhysRevLett.125.040603,,https://link.aps.org/doi/10.1103/PhysRevLett.125.040603,,American Physical Society,,125,7,2020,,,,040603,,From Stochastic Spin Chains to Quantum Kardar-Parisi-Zhang Dynamics,"Jin, Tony and Krajenbrink, Alexandre and Bernard, Denis",article,PhysRevLett.125.040603,,,Phys. Rev. Lett.,7,4,,,,,
,10.48550/ARXIV.2007.10515,,https://arxiv.org/abs/2007.10515,,arXiv,,,7,2020,,,,,,A Generic Compilation Strategy for the Unitary Coupled Cluster Ansatz,"Cowtan, Alexander and Simmons, Will and Duncan, Ross",article,https://doi.org/10.48550/arxiv.2007.10515,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Emerging Technologies (cs.ET), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences",,,,,,,,
,10.1038/s41534-020-00302-0,,https://doi.org/10.1038/s41534-020-00302-0,,,,6,9,2020,2056-6387,,,82,,Variational fast forwarding for quantum simulation beyond the coherence time,"Cirstoiu, Cristina
and Holmes, Zoe
and Iosue, Joseph
and Cincio, Lukasz
and Coles, Patrick J.
and Sornborger, Andrew",article,C̨rstoiu2020,,,npj Quantum Information,,,1,18,,,
,10.1088/2058-9565/ab8e92,,https://doi.org/10.1088/2058-9565/ab8e92,,IOP Publishing,,6,11,2020,,,,014003,,t$\vert$ket{\rangle}: a retargetable compiler for {NISQ} devices,Seyon Sivarajah and Silas Dilkes and Alexander Cowtan and Will Simmons and Alec Edgington and Ross Duncan,article,Sivarajah_2020,,,Quantum Science and Technology,,,1,,,,
,10.22331/q-2021-03-22-415,,https://doi.org/10.22331%2Fq-2021-03-22-415,,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,,5,3,2021,,,,415,,"Application-Motivated, Holistic Benchmarking of a Full Quantum Computing Stack",Daniel Mills and Seyon Sivarajah and Travis L. Scholten and Ross Duncan,article,Mills_2021,,,Quantum,,,,,,,
,10.1051/epjconf/202125103050,,https://doi.org/10.1051%2Fepjconf%2F202125103050,,EDP Sciences,C. Biscarat and S. Campana and B. Hegner and S. Roiser and C.I. Rovelli and G.A. Stewart,251,3,2021,,,,03050,,Dual-Parameterized Quantum Circuit {GAN} Model in High Energy Physics,Su Yeon Chang and Steven Herbert and Sofia Vallecorsa and Elias F. Combarro and Ross Duncan,article,Chang_2021,,,EPJ Web of Conferences,,,,,,,
,10.48550/ARXIV.2104.06429,,https://arxiv.org/abs/2104.06429,,arXiv,,,4,2021,,,,,,Qufinite ZX-calculus: a unified framework of qudit ZX-calculi,"Wang, Quanlong",article,https://doi.org/10.48550/arxiv.2104.06429,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Quantum Algebra (math.QA), FOS: Physical sciences, FOS: Physical sciences, FOS: Mathematics, FOS: Mathematics",,,,,,,,
,10.1063/5.0063768,,https://doi.org/10.1063/5.0063768,,,,63,3,2022,,,,042202,,Quantum double aspects of surface code models,"Cowtan, Alexander and Majid, Shahn",article,doi:10.1063/5.0063768,,,Journal of Mathematical Physics,,,4,,https://doi.org/10.1063/5.0063768,,
,10.1103/PhysRevResearch.4.023041,,https://link.aps.org/doi/10.1103/PhysRevResearch.4.023041,,American Physical Society,,4,4,2022,,,,023041,,Estimation of correlations and nonseparability in quantum channels via unitarity benchmarking,"Girling, Matthew and Cirstoiu, Cristina and Jennings, David",article,PhysRevResearch.4.023041,,,Phys. Rev. Research,29,2,,,,,
,10.1145/3520434,,https://doi.org/10.1145/3520434,"New York, NY, USA",Association for Computing Machinery,,3,5,2022,2643-6809,,,,,Using Reinforcement Learning to Perform Qubit Routing in Quantum Compilers,"Pozzi, Matteo G. and Herbert, Steven J. and Sengupta, Akash and Mullins, Robert D.",article,10.1145/3520434,,"qiskit, deep learning, qubit mapping, qubit routing, quantum circuits, simulated annealing, machine learning, Q-learning, tket, neural networks",ACM Transactions on Quantum Computing,25,,2,,,10,June 2022
